time,Rx_left,Rx_right,p,separation
0,0,0,0,0
0.00025,-0.039883191973201,0.038978191973164,0.001,4.5012210926277e-09
0.0005,-0.078879122527668,0.077974122527631,0.001,8.9358664103105e-09
0.00075,-0.11787505308214,0.1169700530821,0.001,1.3370511727993e-08
0.001,-0.1568709836366,0.15596598363656,0.001,1.7805157045676e-08
0.00125,-0.19586691419107,0.19496191419103,0.001,2.2239802363359e-08
0.0015,-0.23486284474554,0.2339578447455,0.001,2.6674447681041e-08
0.00175,-0.2738587753,0.27295377529996,0.001,3.1109092998724e-08
0.002,-0.31285470585447,0.31194970585443,0.001,3.5543738316407e-08
0.00225,-0.35185063640894,0.3509456364089,0.001,3.997838363409e-08
0.0025,-0.39084656696341,0.38994156696338,0.001,4.4413028951772e-08
0.00275,-0.42984249751787,0.42893749751782,0.001,4.8847674269455e-08
0.003,-0.46883842807234,0.4679334280723,0.001,5.3282319587138e-08
0.00325,-0.50783435862681,0.50692935862679,0.001,5.7716964904821e-08
0.0035,-0.54683028918127,0.54592528918123,0.001,6.2151610222503e-08
0.00375,-0.58582621973574,0.58492121973572,0.001,6.6586255540186e-08
0.004,-0.62482215029021,0.62391715029017,0.001,7.1020900857869e-08
0.00425,-0.66381808084468,0.66291308084463,0.001,7.5455546175552e-08
0.0045,-0.70281401139914,0.70190901139911,0.001,7.9890191493234e-08
0.00475,-0.74180994195361,0.74090494195356,0.001,8.4324836810917e-08
0.005,-0.78080587250808,0.77990087250804,0.001,8.87594821286e-08
0.00525,-0.81980180306255,0.81889680306253,0.001,9.3194127446282e-08
0.0055,-0.85879773361701,0.85789273361696,0.001,9.7628772763965e-08
0.00575,-0.89779366417148,0.89688866417146,0.001,1.0206341808165e-07
0.006,-0.93678959472595,0.93588459472589,0.001,1.0649806339933e-07
0.00625,-0.97578552528042,0.9748805252804,0.001,1.1093270871701e-07
0.0065,-1.0147814558349,1.0138764558348,0.001,1.153673540347e-07
0.00675,-1.0537773863893,1.0528723863893,0.001,1.1980199935238e-07
0.007,-1.0927733169438,1.0918683169438,0.001,1.2423664467006e-07
0.00725,-1.1317692474983,1.1308642474983,0.001,1.2867128998774e-07
0.0075,-1.1707651780527,1.1698601780527,0.001,1.3310593530543e-07
0.00775,-1.2097611086072,1.2088561086072,0.001,1.3754058062311e-07
0.008,-1.2487570391617,1.2478520391616,0.001,1.4197522594079e-07
0.00825,-1.2877529697162,1.2868479697162,0.001,1.4640987125848e-07
0.0085,-1.3267489002706,1.3258439002706,0.001,1.5084451657616e-07
0.00875,-1.3657448308251,1.364839830825,0.001,1.5527916189384e-07
0.009,-1.4047407613796,1.4038357613796,0.001,1.5971380721152e-07
0.00925,-1.443736691934,1.442831691934,0.001,1.6414845252921e-07
0.0095,-1.4827326224885,1.4818276224885,0.001,1.6858309784689e-07
0.00975,-1.521728553043,1.5208235530429,0.001,1.7301774316457e-07
0.01,-1.5607244835974,1.5598194835975,0.001,1.7745238848225e-07
0.01025,-1.5997204141519,1.5988154141517,0.001,1.8188703379994e-07
0.0105,-1.6387163447064,1.6378113447063,0.001,1.8632167911762e-07
0.01075,-1.6777122752608,1.6768072752608,0.001,1.907563244353e-07
0.011,-1.7167082058153,1.7158032058153,0.001,1.9519096975299e-07
0.01125,-1.7557041363698,1.7547991363697,0.001,1.9962561507067e-07
0.0115,-1.7947000669242,1.7937950669242,0.001,2.0406026038835e-07
0.01175,-1.8336959974787,1.8327909974787,0.001,2.0849490570603e-07
0.012,-1.8726919280332,1.8717869280331,0.001,2.1292955102372e-07
0.01225,-1.9116878585876,1.9107828585876,0.001,2.173641963414e-07
0.0125,-1.9506837891421,1.949778789142,0.001,2.2179884165908e-07
0.01275,-1.9896797196966,1.9887747196965,0.001,2.2623348697676e-07
0.013,-2.028675650251,2.027770650251,0.001,2.3066813229445e-07
0.01325,-2.0676715808055,2.0667665808055,0.001,2.3510277761213e-07
0.0135,-2.10666751136,2.10576251136,0.001,2.3953742292981e-07
0.01375,-2.1456634419144,2.1447584419144,0.001,2.439720682475e-07
0.014,-2.1846593724689,2.1837543724689,0.001,2.4840671356518e-07
0.01425,-2.2236553030234,2.2227503030233,0.001,2.5284135888286e-07
0.0145,-2.2626512335778,2.2617462335778,0.001,2.5727600420054e-07
0.01475,-2.3016471641323,2.3007421641322,0.001,2.6171064951823e-07
0.015,-2.3406430946868,2.3397380946868,0.001,2.6614529483591e-07
0.01525,-2.3796390252412,2.3787340252412,0.001,2.7057994015359e-07
0.0155,-2.4186349557957,2.4177299557957,0.001,2.7501458547128e-07
0.01575,-2.4576308863502,2.45672588635,0.001,2.7944923078896e-07
0.016,-2.4966268169046,2.4957218169046,0.001,2.8388387610664e-07
0.01625,-2.5356227474591,2.5347177474592,0.001,2.8831852142432e-07
0.0165,-2.5746186780136,2.5737136780135,0.001,2.9275316674201e-07
