time,Rx_left,Rx_right,p,separation
0,0,0,0,0
0.00025,-0.039213554067894,0.038987304067878,0.00025,8.6463201403169e-09
0.0005,-0.078209473214146,0.077983223214131,0.00025,1.7261398503804e-08
0.00075,-0.1172053923604,0.11697914236039,0.00025,2.5876476867291e-08
0.001,-0.15620131150665,0.15597506150664,0.00025,3.4491555230778e-08
0.00125,-0.1951972306529,0.19497098065289,0.00025,4.3106633594265e-08
0.0015,-0.23419314979916,0.23396689979914,0.00025,5.1721711957752e-08
0.00175,-0.27318906894541,0.2729628189454,0.00025,6.0336790321238e-08
0.002,-0.31218498809166,0.31195873809165,0.00025,6.8951868684725e-08
0.00225,-0.35118090723792,0.3509546572379,0.00025,7.7566947048212e-08
0.0025,-0.39017682638417,0.38995057638415,0.00025,8.6182025411699e-08
0.00275,-0.42917274553042,0.4289464955304,0.00025,9.4797103775186e-08
0.003,-0.46816866467667,0.46794241467666,0.00025,1.0341218213867e-07
0.00325,-0.50716458382293,0.50693833382292,0.00025,1.1202726050216e-07
0.0035,-0.54616050296918,0.54593425296916,0.00025,1.2064233886565e-07
0.00375,-0.58515642211543,0.58493017211542,0.00025,1.2925741722913e-07
0.004,-0.62415234126168,0.62392609126168,0.00025,1.3787249559262e-07
0.00425,-0.66314826040794,0.66292201040792,0.00025,1.4648757395611e-07
0.0045,-0.70214417955419,0.70191792955418,0.00025,1.5510265231959e-07
0.00475,-0.74114009870044,0.74091384870043,0.00025,1.6371773068308e-07
0.005,-0.7801360178467,0.77990976784667,0.00025,1.7233280904657e-07
0.00525,-0.81913193699295,0.81890568699294,0.00025,1.8094788741006e-07
0.0055,-0.8581278561392,0.85790160613919,0.00025,1.8956296577354e-07
0.00575,-0.89712377528545,0.89689752528544,0.00025,1.9817804413703e-07
0.006,-0.93611969443171,0.93589344443169,0.00025,2.0679312250052e-07
0.00625,-0.97511561357796,0.97488936357793,0.00025,2.15408200864e-07
0.0065,-1.0141115327242,1.0138852827242,0.00025,2.2402327922749e-07
0.00675,-1.0531074518705,1.0528812018704,0.00025,2.3263835759098e-07
0.007,-1.0921033710167,1.0918771210167,0.00025,2.4125343595446e-07
0.00725,-1.131099290163,1.130873040163,0.00025,2.4986851431795e-07
0.0075,-1.1700952093092,1.1698689593092,0.00025,2.5848359268144e-07
0.00775,-1.2090911284555,1.2088648784555,0.00025,2.6709867104493e-07
0.008,-1.2480870476017,1.2478607976017,0.00025,2.7571374940841e-07
0.00825,-1.287082966748,1.286856716748,0.00025,2.843288277719e-07
0.0085,-1.3260788858942,1.3258526358942,0.00025,2.9294390613539e-07
0.00875,-1.3650748050405,1.3648485550405,0.00025,3.0155898449887e-07
0.009,-1.4040707241867,1.4038444741867,0.00025,3.1017406286236e-07
0.00925,-1.443066643333,1.442840393333,0.00025,3.1878914122585e-07
0.0095,-1.4820625624792,1.4818363124792,0.00025,3.2740421958933e-07
0.00975,-1.5210584816255,1.5208322316255,0.00025,3.3601929795282e-07
0.01,-1.5600544007718,1.5598281507717,0.00025,3.4463437631631e-07
0.01025,-1.599050319918,1.598824069918,0.00025,3.5324945467979e-07
0.0105,-1.6380462390643,1.6378199890642,0.00025,3.6186453304328e-07
0.01075,-1.6770421582105,1.6768159082105,0.00025,3.7047961140677e-07
0.011,-1.7160380773568,1.7158118273567,0.00025,3.7909468977026e-07
0.01125,-1.755033996503,1.754807746503,0.00025,3.8770976813374e-07
0.0115,-1.7940299156493,1.7938036656493,0.00025,3.9632484649723e-07
0.01175,-1.8330258347955,1.8327995847955,0.00025,4.0493992486072e-07
0.012,-1.8720217539418,1.8717955039417,0.00025,4.135550032242e-07
0.01225,-1.911017673088,1.910791423088,0.00025,4.2217008158769e-07
0.0125,-1.9500135922343,1.9497873422343,0.00025,4.3078515995118e-07
0.01275,-1.9890095113805,1.9887832613805,0.00025,4.3940023831466e-07
0.013,-2.0280054305268,2.0277791805268,0.00025,4.4801531667815e-07
0.01325,-2.067001349673,2.066775099673,0.00025,4.5663039504164e-07
0.0135,-2.1059972688193,2.1057710188193,0.00025,4.6524547340512e-07
0.01375,-2.1449931879655,2.1447669379655,0.00025,4.7386055176861e-07
0.014,-2.1839891071118,2.1837628571118,0.00025,4.824756301321e-07
0.01425,-2.222985026258,2.222758776258,0.00025,4.9109070849559e-07
0.0145,-2.2619809454043,2.2617546954043,0.00025,4.9970578685907e-07
0.01475,-2.3009768645506,2.3007506145505,0.00025,5.0832086522256e-07
0.015,-2.3399727836968,2.3397465336968,0.00025,5.1693594358605e-07
0.01525,-2.3789687028431,2.3787424528431,0.00025,5.2555102194953e-07
0.0155,-2.4179646219893,2.4177383719893,0.00025,5.3416610031302e-07
0.01575,-2.4569605411356,2.4567342911356,0.00025,5.4278117867651e-07
0.016,-2.4959564602818,2.4957302102818,0.00025,5.5139625703999e-07
0.01625,-2.5349523794281,2.5347261294281,0.00025,5.6001133540348e-07
0.0165,-2.5739482985743,2.5737220485743,0.00025,5.6862641376697e-07
0.01675,-2.6129442177206,2.6127179677206,0.00025,5.7724149213045e-07
0.017,-2.6519401368668,2.6517138868668,0.00025,5.8585657049394e-07
0.01725,-2.6909360560131,2.6907098060131,0.00025,5.9447164885743e-07
0.0175,-2.7299319751593,2.7297057251593,0.00025,6.0308672722092e-07
0.01775,-2.7689278943056,2.7687016443056,0.00025,6.117018055844e-07
0.018,-2.8079238134518,2.8076975634518,0.00025,6.2031688394789e-07
0.01825,-2.8469197325981,2.8466934825981,0.00025,6.2893196231138e-07
0.0185,-2.8859156517443,2.8856894017443,0.00025,6.3754704067486e-07
0.01875,-2.9249115708906,2.9246853208906,0.00025,6.4616211903835e-07
0.019,-2.9639074900368,2.9636812400368,0.00025,6.5477719740184e-07
0.01925,-3.0029034091831,3.0026771591831,0.00025,6.6339227576532e-07
0.0195,-3.0418993283294,3.0416730783294,0.00025,6.7200735412881e-07
0.01975,-3.0429512354587,3.0413668290243,0.0016098158587747,6.9142884347039e-06
0.02,-3.0088596976423,3.0044206730783,0.0045162784234407,2.5161063469801e-05
0.02025,-2.9727793630312,2.9653249165977,0.0075900917380826,5.2739614560113e-05
0.0205,-2.9354540099698,2.9248925234585,0.010759508996638,9.0138380173122e-05
0.02075,-2.8973011730354,2.8835713889628,0.013993187916614,0.00013768179657081
0.021,-2.8585747691587,2.8416339633771,0.017271869721406,0.00019559152416234
0.02125,-2.8194281646991,2.7992452108095,0.020583690398296,0.0002640396903224
0.0215,-2.7799593563064,2.7565106428087,0.023920937502289,0.00034316994011551
0.02175,-2.7402339388181,2.7135009927786,0.027278359993742,0.00043310859839702
0.022,-2.7002975609008,2.6702655749152,0.030652239985579,0.00053397107865124
0.02225,-2.6601829981862,2.6268398492107,0.034039860048064,0.00064586592313849
0.0225,-2.6199144007635,2.5832500153686,0.037439177120392,0.00076889735967931
0.02275,-2.5795099242959,2.5395158008814,0.040848621918793,0.0009031672069023
0.023,-2.5389834598681,2.4956523670717,0.044266961897489,0.0010487760694575
0.02325,-2.4983457660236,2.4516714862296,0.047693214967783,0.0012058244365493
0.0235,-2.4576052659517,2.4075824236412,0.051126585330768,0.0013744133945259
0.02375,-2.41676860615,2.3633925449752,0.054566418848682,0.001554645229874
0.024,-2.3758410454273,2.319107700328,0.058012174169931,0.0017466240969491
0.02425,-2.3348267635211,2.2747325920755,0.061463395950002,0.0019504563575914
0.0245,-2.2937290846696,2.2302710174235,0.06491969678674,0.0021662509743259
0.02475,-2.2525506341145,2.1857259996149,0.068380746880839,0.0023941200668083
0.025,-2.2112934886606,2.1410999945597,0.071846259204253,0.0026341790636042
0.02525,-2.1699592742691,2.0963949711751,0.075315983100354,0.0028865471534161
0.0255,-2.1285492564884,2.0516125156916,0.078789696545293,0.0031513475733042
0.02575,-2.0870644112712,2.0067539006631,0.082267200840036,0.0034287079617562
0.026,-2.0455055029339,1.9618201991151,0.085748312504651,0.0037187604554374
0.02625,-2.0038731194836,1.9168122712709,0.089232863462832,0.0040216422951533
0.0265,-1.9621677510668,1.8717309016151,0.092720691591026,0.0043374957320504
0.02675,-1.9203898299079,1.8265768120992,0.096211639264954,0.0046664684500535
