time,J,surface_area
0,0,0
0.1,0.01652798053974,0.4652115483901
0.2,0.064243131324548,0.46533220102004
0.3,0.14111382800178,0.46575775935522
0.4,0.24469228681225,0.46669736034845
0.5,0.37332044076788,0.46833137605796
0.6,0.52465363248617,0.4710026462262
0.7,0.69626547949149,0.475121834968
0.8,0.8837962955883,0.48164402006919
0.9,1.0785317667943,0.49272815525827
1,1.2670862484551,0.51179292844888
1.1,1.2985622177691,0.51724026247359
1.2,1.3294058168999,0.5229158300013
1.3,1.3587308462995,0.52919054913684
1.4,1.3870043666189,0.53591775815479
1.5,1.4132463455952,0.54344635085333
1.6,1.4381593125497,0.55151957548187
1.7,1.4608227818454,0.56048406078723
1.8,1.4820200846875,0.57005184371945
1.9,1.5014285823654,0.58035054385009
2,1.5184701594529,0.59162112363661
2.1,1.5344494474203,0.60336264850461
2.2,1.5489458521632,0.61575125567788
2.3,1.5618546314622,0.62882892201162
2.4,1.5731496872331,0.64262822088202
2.5,1.5825449769266,0.65728922364931
2.6,1.5913274067822,0.6722784108347
2.7,1.5992088696789,0.68772822984343
2.8,1.6062494980739,0.7036194262441
2.9,1.612550161076,0.71991227518846
3,1.6182074687452,0.73657048557343
3.1,1.6232664089948,0.75357728288556
3.2,1.6277833381808,0.77090971672889
3.3,1.6318600328501,0.78852405253145
3.4,1.6355324010598,0.80640377286841
3.5,1.6388547407548,0.82452421551137
3.6,1.6418593231553,0.84287052428382
3.7,1.6445624072913,0.86143429144993
3.8,1.6470187146106,0.88019035344853
3.9,1.6498486626562,0.89883948243091
4,1.6524583334594,0.91765238075299
4.1,1.654762520412,0.93668494956781
4.2,1.6562590351777,0.95616460223436
4.3,1.6580522611875,0.97556441116829
4.4,1.6597068825681,0.99509251714143
4.5,1.6612426880481,1.0147388800023
4.6,1.6631967866036,1.0342327342906
4.7,1.663985369034,1.0543623164848
4.8,1.6650877443968,1.0743901309323
4.9,1.6661423364788,1.094492123592
5,1.6676668633784,1.1144073330422
5.1,1.668072526648,1.1349348330947
5.2,1.6693723772402,1.1550558844547
5.3,1.6696328263784,1.1757483252208
5.4,1.6702656436527,1.1962952858281
5.5,1.6714281617255,1.2166108771052
5.6,1.6715171306928,1.2375162177312
5.7,1.6732392070899,1.2576194721645
5.8,1.6737986082774,1.2783454992416
5.9,1.6745996902508,1.2989790118439
6,1.6753299507768,1.3196831308669
6.1,1.6759728141524,1.3404654644946
6.2,1.676538930265,1.3613198191429
6.3,1.677038480613,1.3822398825258
6.4,1.6774727469171,1.4032243793315
6.5,1.6778570007753,1.4242739387471
6.6,1.6781797251908,1.4453740390161
6.7,1.678455939936,1.4665262727241
6.8,1.6786863277081,1.4877289015478
6.9,1.6788770981905,1.5089786717591
7,1.6790232998542,1.5302767196497
7.1,1.6796702146825,1.5513365367191
7.2,1.6792640238351,1.5729740416326
7.3,1.679763816798,1.5941595770855
7.4,1.6792908409704,1.6158805377239
7.5,1.6804723558856,1.6367563062604
7.6,1.6804350353484,1.6582847883625
7.7,1.6807112967857,1.6797045756709
7.8,1.6808708441793,1.7011785882972
7.9,1.6809645090054,1.7227154512645
8,1.6810006824678,1.7443157680918
8.1,1.6809715832301,1.7659726289259
8.2,1.680885327185,1.7876898152371
8.3,1.680741734026,1.8094702520627
8.4,1.6805753120641,1.8312978698003
8.5,1.6803641508889,1.8531877920294
8.6,1.6806361957697,1.8748662312152
8.7,1.6799084581345,1.8971118070647
8.8,1.6800803123586,1.9189397145657
8.9,1.6798411409152,1.941039995023
9,1.6795254197298,1.9632456812183
9.1,1.6792030267317,1.9855301541306
9.2,1.6788781357416,2.0079005336845
9.3,1.6792623357458,2.0300213822341
