time,J,surface_area
0,0,0
0.1,0.015719880784719,0.37216665523382
0.2,0.061605311491615,0.37223276286323
0.3,0.13619272121622,0.37247400077782
0.4,0.23756956075024,0.37304062320486
0.5,0.36414079303682,0.37410227691856
0.6,0.51328458077681,0.37601635295019
0.7,0.68151455511123,0.37931861360397
0.8,0.86354768451587,0.38492027058936
0.9,1.0499531651047,0.39466744035533
1,1.2275397928821,0.41120653060138
1.1,1.2570474361989,0.41577830369467
1.2,1.286101575622,0.42047291983565
1.3,1.3142909079851,0.42545913383768
1.4,1.3408562978908,0.43099119124149
1.5,1.3664792766144,0.43685671083875
1.6,1.3902484488672,0.44331276414959
1.7,1.412967349192,0.45012510636188
1.8,1.4337882175778,0.45755493981376
1.9,1.4535333874497,0.46535428055377
2,1.4719640722411,0.47360199769919
2.1,1.4885993417251,0.48245835981663
2.2,1.5043043705922,0.4916480299118
2.3,1.5187957438951,0.50126394986751
2.4,1.5320596746838,0.51132458952811
2.5,1.5441647831856,0.52181007207667
2.6,1.5552323241615,0.53269073986422
2.7,1.5645494215783,0.54421217761942
2.8,1.5740361168577,0.55572753895377
2.9,1.5816988564051,0.56792661798247
3,1.5890942312611,0.58027609840904
3.1,1.5958615016664,0.59290393671302
3.2,1.6020833850721,0.60578386299614
3.3,1.6077601210067,0.61891868544904
3.4,1.612951057499,0.63228591653098
3.5,1.6177183949473,0.64586748664218
3.6,1.6220927332213,0.65965145878353
3.7,1.626108200343,0.67362592087102
3.8,1.6298323109797,0.68776598266832
3.9,1.6336049880805,0.70194779399905
4,1.6370962068457,0.71628496166632
4.1,1.6402358143366,0.73080446182171
4.2,1.643140275695,0.74546481236891
4.3,1.6458231637784,0.76025987822122
4.4,1.6483179813375,0.7751765187631
4.5,1.6506315898695,0.79021116568539
4.6,1.6527846261965,0.80535467503274
4.7,1.6547861466235,0.82060243195658
4.8,1.6566693221814,0.83594829587282
4.9,1.6584188653936,0.85138213355936
5,1.6600436546211,0.86690592495041
5.1,1.6615719647618,0.88250789461999
5.2,1.6629944977336,0.8981902473198
5.3,1.664334176305,0.91394279544853
5.4,1.665587194888,0.92976594190527
5.5,1.6667657141313,0.94565375638278
5.6,1.6678722400455,0.96160398675048
5.7,1.6693440131473,0.97744490207993
5.8,1.6706325540805,0.99338428629383
5.9,1.6717793988873,1.009408448573
6,1.672829385745,1.0255006214193
6.1,1.6737921272878,1.0416562272106
6.2,1.6746911706343,1.0578654787428
6.3,1.6755144026734,1.0741321447037
6.4,1.6762868393868,1.0904457283467
6.5,1.6769963115672,1.1068101928259
6.6,1.6776571301946,1.1232192871289
6.7,1.6782624936049,1.1396748682525
6.8,1.6788230262636,1.1561722620682
6.9,1.679332083803,1.1727130445316
7,1.6798020519691,1.1892922382797
7.1,1.6802253816231,1.2059122718542
7.2,1.6806098006733,1.2225697320601
7.3,1.6809525271736,1.2392650477706
7.4,1.6812524880138,1.2559987960367
7.5,1.6819496234745,1.2725962430279
7.6,1.6824620252845,1.2892822037372
7.7,1.6828559820039,1.3060360385526
7.8,1.6831874215856,1.3228358861922
7.9,1.6834316284211,1.3396930738551
8,1.6836304417362,1.3565904950924
8.1,1.6837823018079,1.3735299358428
8.2,1.6838822958906,1.3905141212448
8.3,1.6839421691953,1.4075396240735
8.4,1.6839527730493,1.4246110628225
8.5,1.6839284581437,1.4417247934455
8.6,1.6838562518712,1.4588875721113
8.7,1.6837552164888,1.4760945164118
8.8,1.6836273029138,1.493353724553
8.9,1.6834542516763,1.5106632322754
9,1.6832444608783,1.5280289954834
9.1,1.683014389784,1.5454486960409
9.2,1.6827323630716,1.5629379600607
9.3,1.6828619119632,1.5803319015819
9.4,1.6827512950592,1.597868318688
9.5,1.6825293617571,1.6155054512752
9.6,1.682203939343,1.6332377431631
