d,ep,stress,total_strain
0,0,0,0
0,0,6.8797190688834,0.00010000499999996
0,0,13.758876406675,0.00020001999999997
0,0,20.63747221005,0.00030004499999992
0,0,27.515506675563,0.00040007999999991
0,0,34.392979999622,0.00050012499999996
0,0,41.269892378648,0.00060017999999995
0,0,48.146244008931,0.00070024499999988
0,0,55.022035086568,0.00080031999999997
0,0,61.897265807699,0.00090040499999988
0,0,68.771936368262,0.0010004999999998
0,0,75.646046964232,0.0011006050000001
0,0,82.519597791278,0.00120072
0,0,89.39258904514,0.0013008450000001
0,0,96.265020921442,0.0014009800000001
0,0,103.13689361571,0.0015011250000001
0,0,110.00820732327,0.00160128
0,0,116.87896223956,0.001701445
0,0,123.74915855965,0.0018016200000001
0,0,130.61879647881,0.001901805
0,0,137.48787619197,0.0020019999999999
0,0,144.35639789412,0.002102205
0,0,151.22436178007,0.0022024199999999
0,0,158.09176804465,0.0023026450000002
0,0,164.95861688226,0.00240288
0,0,171.82490848772,0.0025031249999999
0,0,178.69064305546,0.0026033799999999
0,0,185.55582077974,0.002703645
0,0,192.42044185487,0.00280392
0,0,199.28450647503,0.0029042049999999
0,0,206.14801483431,0.0030044999999999
0,0,213.01096712671,0.0031048050000001
0,0,219.87336354612,0.0032051200000002
0,0,226.73520428629,0.0033054450000001
0,0,233.59648954102,0.0034057800000001
0,0,240.45721950383,0.003506125
0,0,247.31739436829,0.0036064800000001
0,0,254.1770143278,0.0037068450000001
0,0,261.03607957569,0.00380722
0,0,267.89459030521,0.0039076050000001
0,0,274.75254670951,0.004008
0,0,281.60994898156,0.004108405
0,0,288.46679731447,0.0042088200000001
0,0,295.32309190096,0.0043092450000001
0,0,302.17883293383,0.0044096800000001
0,0,309.03402060571,0.0045101249999999
0,0,315.88865510932,0.00461058
0,4.6888908974903e-05,319.52730861848,0.0047110450000001
0,0.00014584194086871,319.59517370177,0.0048115200000001
0,0.00024478521116004,319.66303204477,0.0049120049999999
0,0.00034371872178369,319.73088364884,0.0050124999999999
0,0.00044264247467321,319.79872851531,0.0051130050000002
0,0.00054155647176142,319.86656664554,0.0052135200000002
0,0.00064046071498125,319.93439804077,0.0053140450000001
0,0.00073935520626451,320.00222270241,0.0054145800000001
0,0.00083823994754269,320.07004063186,0.0055151250000002
0,0.00093711494074681,320.13785183031,0.00561568
0,0.0010359801878067,320.20565629924,0.005716245
0,0.0011348356906525,320.27345403989,0.0058168200000001
0,0.001233681451213,320.34124505367,0.005917405
0,0.0013325174714168,320.40902934185,0.006018
0,0.001431343753192,320.47680690581,0.0061186049999999
0,0.0015301602984656,320.54457774689,0.0062192200000001
0,0.001628967109165,320.61234186637,0.0063198450000001
0,0.0017277641872159,320.68009926558,0.00642048
0,0.0018265515345413,320.74784994645,0.0065211249999999
0,0.0019253291530745,320.81559390873,0.00662178
0,0.0020240970447319,320.88333115532,0.006722445
0,0.0021228552114405,320.95106168696,0.00682312
0,0.0022216036551233,321.0187855051,0.006923805
0,0.0023203423777033,321.08650261094,0.0070245
0,0.0024190713811024,321.15421300597,0.0071252050000002
0.0054020477720241,0.0024190713811024,316.01940218674,0.0072259200000001
0.010729335030301,0.0024190713811024,311.04585718559,0.0073266450000001
0.015973041004903,0.0024190713811024,306.24961880031,0.0074273800000001
0.021136917806572,0.0024190713811024,301.61932402996,0.0075281250000001
0.026224415360567,0.0024190713811024,297.14467344502,0.0076288800000001
0.031238714920763,0.0024190713811024,292.81630257584,0.0077296450000002
0.036182758553137,0.0024190713811024,288.62567092921,0.00783042
0.041059274457191,0.0024190713811024,284.564967279,0.0079312049999999
0.045870798878923,0.0024190713811024,280.62702831564,0.0080320000000002
0.050619695169278,0.0024190713811024,276.80526842704,0.0081328050000001
0.055308170464043,0.0024190713811024,273.0936187636,0.0082336200000001
0.059938290302715,0.0024190713811024,269.486474215,0.0083344450000002
0.064511991522975,0.0024190713811024,265.9786470322,0.0084352799999999
0.069031093643631,0.0024190713811024,262.56532617068,0.0085361249999999
0.073497308981771,0.0024190713811024,259.24204146528,0.00863698
0.077912251642505,0.0024190713811024,256.00463201375,0.0087378449999999
0.082277445560614,0.0024190713811024,252.84921813846,0.0088387199999999
0.086594331689756,0.0024190713811024,249.77217648999,0.008939605
0.090864274460427,0.0024190713811024,246.77011785651,0.0090405000000001
0.095088567600764,0.0024190713811024,243.83986732557,0.0091414050000002
0.099268439383654,0.0024190713811024,240.97844652329,0.00924232
0.10340505737802,0.0024190713811024,238.18305765903,0.0093432449999999
0.10749953275481,0.0024190713811024,235.45106916825,0.0094441799999999
0.111552924205,0.0024190713811024,232.78000275377,0.0095451250000001
0.11556624150356,0.0024190713811024,230.16752167738,0.0096460800000001
0.11954044876726,0.0024190713811024,227.61142014533,0.0097470450000001
0.12347646742651,0.0024190713811024,225.10961368407,0.0098480200000003
0.12737517895504,0.0024190713811024,222.66013037721,0.0099490050000002
0.1312374273684,0.0024190713811024,220.26110289173,0.01005
0.1350640215296,0.0024190713811024,217.91076118806,0.010151005
0.13885573725989,0.0024190713811024,215.60742587298,0.01025202
0.14261331929849,0.0024190713811024,213.34950209517,0.010353045
0.14633748310243,0.0024190713811024,211.13547396114,0.01045408
0.15002891651812,0.0024190713811024,208.96389939695,0.010555125
0.15368828132679,0.0024190713811024,206.83340542675,0.01065618
0.15731621467789,0.0024190713811024,204.74268382359,0.010757245
0.16091333042072,0.0024190713811024,202.69048709766,0.01085832
0.16448022034576,0.0024190713811024,200.67562478788,0.010959405
0.1680174553344,0.0024190713811024,198.69696004011,0.0110605
