d,ep,stress,total_strain
0,0,0,0
4.2944313175917e-05,0,6.8746257628256,0.00010000499999996
0.0001711396958677,0,13.718356826984,0.00020001999999997
0.00038273051103241,0,20.50196067473,0.00030004500000014
0.00067476179328033,0,27.198286816777,0.00040007999999991
0.00104334841406,0,33.783054250195,0.00050012499999996
0.0014838808858925,0,40.235393099918,0.00060017999999995
0.0019912447414259,0,46.538126210654,0.00070024499999988
0.0025600331757902,0,52.677810256206,0.00080031999999997
0.0031847375958099,0,58.644579445948,0.0009004050000001
0.0038599066901276,0,64.431846223151,0.0010004999999998
0.0045802702448681,0,70.035913949294,0.0011006050000001
0.0053408284051951,0,75.455549677738,0.00120072
0.0061369099183462,0,80.6915546072,0.0013008450000001
0.0069642045208696,0,85.746358294137,0.0014009799999998
0.0078187749537548,0,90.623652578525,0.0015011249999999
0.0086970538541063,0,95.328072940885,0.0016012800000003
0.0095958300986569,0,99.864929077721,0.0017014449999999
0.010512228316115,0,104.23998263673,0.0018016199999999
0.011443684443931,0,108.45926782625,0.0019018050000001
0.012387919495524,0,112.52894950294,0.0020019999999999
0.013342913023009,0,116.45521317659,0.0021022049999999
0.014306877405308,0,120.24418136847,0.0022024199999998
0.015278233113527,0,123.90185233324,0.0023026449999998
0.016255586496996,0,127.43405480417,0.0024028799999998
0.017237708729601,0,130.84641787507,0.0025031249999999
0.018223517094544,0,134.14435100405,0.00260338
0.019212058099195,0,137.33303249683,0.0027036449999999
0.020202492400021,0,140.41740434238,0.0028039199999997
0.021194081417355,0,143.40217179324,0.0029042049999997
0.022186175467686,0,146.29180649015,0.0030044999999999
0.023178203284443,0,149.09055211012,0.0031048050000001
0.024169662788881,0,151.80243175934,0.0032051200000001
0.025160112950571,0,154.43125657068,0.0033054449999999
0.026149166629983,0,156.98063501743,0.0034057799999998
0.027136484286024,0,159.45398260585,0.0035061250000002
0.028121768437292,0,161.85453170945,0.00360648
0.029104758792321,0,164.185341341,0.003706845
0.030085227972142,0,166.44930671472,0.0038072199999999
0.031062977728318,0,168.64916855774,0.0039076049999999
0.032037835627061,0,170.78752203178,0.004008
0.033009652118829,0,172.86682527793,0.0041084049999998
0.03397829795553,0,174.88940753793,0.00420882
0.03494366190998,0,176.85747684693,0.0043092449999997
0.035905648758107,0,178.77312730362,0.0044096799999999
0.036864177497838,0,180.63834590882,0.0045101249999999
0.037819179768903,0,182.45501900172,0.0046105799999998
0.038770182912987,4.6888908975105e-05,182.39047626338,0.0047110449999997
0.039702771670464,0.00014584194086881,180.34208027638,0.00481152
0.04061336846897,0.00024478521116029,178.37703381575,0.004912005
0.041503217725994,0.00034371872178444,176.48940334763,0.0050125
0.042373454591377,0.00044264247467375,174.67385260751,0.0051130049999999
0.043225117623897,0.00054155647176219,172.92556601512,0.00521352
0.044059159777514,0.00064046071498225,171.2401836564,0.0053140450000002
0.044876457840556,0.00073935520626565,169.61374606921,0.00541458
0.04567782058555,0.000838239947544,168.04264711368,0.005515125
0.046463995839512,0.00093711494074793,166.52359354592,0.00561568
0.047235676641195,0.0010359801878081,165.05357019075,0.005716245
0.047993506629118,0.0011348356906535,163.62980980127,0.0058168199999998
0.048738084767767,0.0012336814512144,162.24976688265,0.0059174050000001
0.049469969459029,0.0013325174714181,160.91109496325,0.0060179999999998
0.050189682452152,0.001431343753193,159.6116261897,0.006118605
0.050897711762391,0.0015301602984668,158.3493544324,0.0062192199999999
0.051594514812779,0.0016289671091659,157.12241938329,0.0063198449999999
0.052280520965936,0.0017277641872169,155.92909300906,0.0064204799999998
0.052956133842958,0.0018265515345449,154.76776744421,0.0065211249999997
0.053621733403861,0.0019253291530755,153.63694422914,0.0066217799999999
0.054277677817392,0.0020240970447331,152.53522472183,0.006722445
0.054924305147253,0.0021228552114411,151.46130152963,0.0068231199999999
0.055561934874821,0.0022216036551241,150.4139508366,0.0069238049999997
0.056190869278296,0.002320342377704,149.39202551542,0.0070244999999997
0.05681139468377,0.0024190713811032,148.39444893011,0.0071252049999999
0.057423782602276,0.0025177906672435,147.42020934917,0.0072259199999999
0.058028290765748,0.0026165002380456,146.46835489765,0.0073266449999999
0.058625164072802,0.0027152000954304,145.53798898657,0.0074273800000001
0.059214635452219,0.0028138902413178,144.62826616937,0.007528125
0.059796926654906,0.0029125706776272,143.73838837501,0.00762888
0.060372248979438,0.0030112414062773,142.86760148053,0.007729645
0.060940803938663,0.0031099024291861,142.01519218588,0.0078304199999998
0.061502783873907,0.0032085537482718,141.18048515848,0.0079312049999997
0.062058372519246,0.0033071953654514,140.36284042385,0.0080319999999998
0.062607745524305,0.0034058272826412,139.56165097211,0.0081328050000001
0.063151070935202,0.0035044495017573,138.77634056496,0.0082336199999999
0.063688509641385,0.0036030620247148,138.00636171857,0.0083344449999999
0.064220215788172,0.0037016648534292,137.25119384934,0.0084352799999998
0.064746337160197,0.0038002579898141,136.51034156507,0.0085361249999998
0.065267015537486,0.0038988414357836,135.78333308831,0.0086369799999998
0.065782387026187,0.0039974151932505,135.06971880102,0.008737845
0.066292582366353,0.0040959792641273,134.36906989863,0.0088387199999999
0.066797727219616,0.0041945336503266,133.68097714305,0.0089396049999999
0.067297942436117,0.0042930783537589,133.00504970866,0.0090404999999998
0.067793344305064,0.004391613376336,132.34091410983,0.0091414049999998
0.068284044788314,0.0044901387199679,131.68821320568,0.0092423199999997
0.068770151738863,0.0045886543865641,131.04660527462,0.0093432449999999
0.069251769105609,0.0046871603780336,130.41576315284,0.0094441799999999
0.069728997125577,0.0047856566962857,129.79537343119,0.0095451249999999
