time,J,surface_area
0,0,0
0.1,0.020861690637275,0.93046481734287
0.2,0.077520878696265,0.93117217126522
0.3,0.16330585126138,0.93349800364737
0.4,0.27357569736244,0.9381712379882
0.5,0.40575343622683,0.94540876483079
0.6,0.55939020974251,0.95482835675065
0.7,0.73363519162732,0.96624366736461
0.8,0.92924711118671,0.97969862268795
0.9,1.1412289009689,0.99756582333121
1,1.3590461338542,1.0255017532508
1.1,1.3952783019178,1.0350227961453
1.2,1.4298314269398,1.0456580744109
1.3,1.4631892655684,1.0572100889598
1.4,1.4929265752618,1.0714663036865
1.5,1.5195258257907,1.0881957979489
1.6,1.5427927325244,1.1075496139283
1.7,1.5634341838736,1.129092913829
1.8,1.5837702676757,1.1509570458912
1.9,1.6054726477514,1.1716670708202
2,1.6279646763844,1.1916691414389
2.1,1.6447612444735,1.2163943252206
2.2,1.6608810708722,1.2418137223757
2.3,1.6743610527486,1.2694767929805
2.4,1.6857919182824,1.2989901492819
2.5,1.6953876973934,1.3301680874792
2.6,1.703395427334,1.3627990770011
2.7,1.7097688178928,1.3969537098379
2.8,1.7152588391615,1.4320340980605
2.9,1.7190577593878,1.468717074123
3,1.7217382546111,1.5065483790276
3.1,1.7238535411768,1.5450797751116
3.2,1.7259735637711,1.5838442747777
3.3,1.7270663016344,1.6236450447281
3.4,1.7282123162793,1.6636344376623
3.5,1.7285881179074,1.7044984980866
3.6,1.7291762012262,1.7453731601462
3.7,1.7298490279691,1.786625901556
3.8,1.7299967987966,1.8282893688655
3.9,1.7301029968489,1.8701874311571
4,1.7293949638191,1.9128818545338
4.1,1.7289868953596,1.95544673549
4.2,1.7296342543137,1.9974087187423
4.3,1.7324823931755,2.0371822784521
4.4,1.734921062032,2.0774755296054
4.5,1.7360331881542,2.1191414911268
4.6,1.7373694080583,2.1607201011447
4.7,1.7377643475553,2.2033062698801
4.8,1.7381448738016,2.2460203920301
4.9,1.7382301847803,2.2891151412207
5,1.737757026869,2.3328511030397
5.1,1.7378948291215,2.3760857464508
5.2,1.7372031719188,2.4202192599051
5.3,1.7371333136665,2.4638345770973
5.4,1.736277099788,2.5083076122192
5.5,1.7360245267373,2.5522690353939
5.6,1.7349678955588,2.5971047944611
5.7,1.7346102316138,2.6412720905117
5.8,1.7333716837035,2.6863361939815
5.9,1.7322926357351,2.7312814062577
6,1.7317063261585,2.7757746228763
6.1,1.7332261596874,2.8182239905782
6.2,1.7346710069207,2.86082181665
6.3,1.7367010229999,2.9028966134262
6.4,1.7369325146635,2.9468413933703
6.5,1.7372679195395,2.9907442049245
6.6,1.7367649236564,3.0355455713056
6.7,1.7363793239568,3.0803079646765
6.8,1.7358056527967,3.1252732082403
6.9,1.7351151770873,3.1704074371854
7,1.7342404899571,3.2157773169882
7.1,1.732965449077,3.2617205628572
7.2,1.7317903011457,3.3075044125095
7.3,1.7301019833495,3.3538712489622
7.4,1.728555213637,3.4001410487808
7.5,1.7274800210447,3.4459199539497
7.6,1.7254584788482,3.4926614739993
7.7,1.7240279684582,3.5388119623998
7.8,1.7237369518002,3.583818385691
7.9,1.7249816722654,3.6273085098164
8,1.7258283613509,3.6712874496035
8.1,1.7263955802252,3.7156302215528
8.2,1.7258414336607,3.7612110287865
8.3,1.7245932957317,3.807592088243
8.4,1.7232756062326,3.8541302437513
8.5,1.7217727741321,3.9009564658653
8.6,1.7200527354763,3.9481162416343
8.7,1.718115669874,3.9956237534919
8.8,1.7159574251319,4.0435076958009
8.9,1.7136602428177,4.0917104442265
