time,J,surface_area
0,0,0
0.1,0.018210885684894,0.65130682828924
0.2,0.069579936589706,0.65159734829823
0.3,0.15050811287592,0.65258569147015
0.4,0.25741034198504,0.65462093138086
0.5,0.38851130798146,0.65802218742391
0.6,0.54155626109311,0.66283903067401
0.7,0.71592214424522,0.66935939420718
0.8,0.90912626872896,0.67815937989707
0.9,1.114188978732,0.69176633356514
1,1.3181451676974,0.71489965970364
1.1,1.3519225930665,0.72216065424632
1.2,1.3849758651278,0.72975499211926
1.3,1.4162563308699,0.7382712992031
1.4,1.4456504862947,0.74784592098822
1.5,1.4730956832286,0.7585005315694
1.6,1.4976364536652,0.77073217357332
1.7,1.5197262610685,0.78432755782768
1.8,1.5385813093741,0.79970843940021
1.9,1.5552393216619,0.81636466964991
2,1.5692099585169,0.83461373080873
2.1,1.582269289761,0.85346280616765
2.2,1.5933858724731,0.87349491655068
2.3,1.6035028261633,0.89419488646477
2.4,1.6118298455531,0.91605239340291
2.5,1.6190064169974,0.93871420631579
2.6,1.6258143418556,0.9617169680276
2.7,1.6312916743348,0.98564603504609
2.8,1.6359924512786,1.0101798101432
2.9,1.6405962037586,1.0349014155099
3,1.6446447575278,1.0600933404349
3.1,1.6477011886427,1.0860604185108
3.2,1.6507827789214,1.1121214214798
3.3,1.6529598393395,1.1388894461931
3.4,1.6552976775011,1.1656747371684
3.5,1.6568280195921,1.1931103413673
3.6,1.6584897860907,1.2205739200825
3.7,1.6599896205236,1.2482541088103
3.8,1.6612549408286,1.2761960612698
3.9,1.6640792374845,1.3031154188768
4,1.6661861297141,1.3305772598308
4.1,1.6678994575293,1.3583952459945
4.2,1.6699212578247,1.3860881691491
4.3,1.6712693150011,1.414338483131
4.4,1.6727692897033,1.4425720715259
4.5,1.6736072208548,1.4713574424459
4.6,1.6745842324413,1.5001304203832
4.7,1.6754031016516,1.5291131995492
4.8,1.6759620104525,1.5583391248705
4.9,1.6763282042782,1.5877776683275
5,1.6764872892675,1.6174357780254
5.1,1.67650481988,1.647264035218
5.2,1.6764730908641,1.6772776249586
5.3,1.6762249927288,1.7074180045187
5.4,1.6758789167802,1.7377079189782
5.5,1.6759693354379,1.767714653523
5.6,1.6756065907802,1.7981008401493
5.7,1.6769003566609,1.827252257796
5.8,1.6777670217025,1.8567261890176
5.9,1.678918824867,1.886030421803
6,1.6795355724636,1.9157779064373
6.1,1.6802719678901,1.9454889162872
6.2,1.6803643286818,1.975730707789
6.3,1.6805391975493,2.0059630350832
6.4,1.6805590281438,2.0363557910012
6.5,1.6803394020008,2.0669699959968
6.6,1.6800625255473,2.0977533668083
6.7,1.679994299692,2.1283409901683
6.8,1.6794644153932,2.1593108131576
6.9,1.678709063398,2.1904862985984
7,1.6778971930827,2.2217400850416
7.1,1.6775004815872,2.2527137418365
7.2,1.6767118876462,2.2840118221661
7.3,1.6757705078312,2.3154560323879
7.4,1.6753174271672,2.3465631221156
7.5,1.6763469785749,2.3765089003777
7.6,1.6764985474682,2.4071238428656
7.7,1.6767396327377,2.4377080357119
7.8,1.6768595334352,2.4684289665565
7.9,1.6767336287403,2.4993805746018
8,1.6763841054991,2.5305489345018
8.1,1.6758160926554,2.561929901298
8.2,1.6751075671514,2.5934692866714
8.3,1.6742565549219,2.6251683164648
8.4,1.6737797435248,2.6566410924181
8.5,1.6728108991579,2.6885411094895
8.6,1.6717185536895,2.7206012850057
8.7,1.6710727608074,2.7523983059054
8.8,1.6699585300237,2.784627472677
8.9,1.6692848711517,2.8166209843357
9,1.6681861722982,2.849036464173
